web-scraper-order,web-scraper-start-url,viewed_bought,title,rating_count,rating,img-src,isbn,publisher
"1621318574-515","https://www.amazon.com/Random-Walk-Down-Wall-Street/dp/0393358380/ref=pd_vtp_19?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0393358380&psc=1","","A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing","1,879 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51Hh5WUNO3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0393358380","W. W. Norton & Company"
"1621318645-954","https://www.amazon.com/Predictably-Irrational-Revised-Expanded-Decisions/dp/0061353248/ref=pd_vtp_4?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0061353248&psc=1","Thinking, Fast and Slow","Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions","3,996 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/516XdxUXpNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","5.31 x 0.86 x 8 inches"
"1621318624-815","https://www.amazon.com/Power-Habit-What-Life-Business/dp/081298160X/ref=pd_vtp_9?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=081298160X&psc=1","<img alt="""" src=""https://m.media-amazon.com/images/I/51yWcE0itkL.jpg_SR247,139__BG0,0,0_.jpg"" height=""139px"" width=""247px""/> 3:34  Click to play video","The Power of Habit: Why We Do What We Do in Life and Business","16,221 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51UKFWWvqHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0812981605","January 7, 2014"
"1621318649-974","https://www.amazon.com/Misbehaving-Behavioral-Economics-Richard-Thaler/dp/039335279X/ref=pd_vtp_3?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=039335279X&psc=1","The Winner's Curse: Paradoxes and Anomalies of Economic Life","Misbehaving: The Making of Behavioral Economics","1,598 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41rywvF7HOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0393352795","June 14, 2016"
"1621318636-896","https://www.amazon.com/Nudge-Improving-Decisions-Health-Happiness/dp/0300122233/ref=pd_vtp_6?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0300122233&psc=1","Thinking, Fast and Slow","Nudge: Improving Decisions About Health, Wealth, and Happiness","1,562 ratings","4.3 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41F7M+zICGL._SY344_BO1,204,203,200_.jpg","978-0300122237","April 8, 2008"
"1621318624-825","https://www.amazon.com/Power-Habit-What-Life-Business/dp/081298160X/ref=pd_vtp_9?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=081298160X&psc=1","Customer Review:  Helped me a lot to understand my hidden habits and correct them","The Power of Habit: Why We Do What We Do in Life and Business","16,221 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51UKFWWvqHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0812981605","January 7, 2014"
"1621318656-991","https://www.amazon.com/Noise-Human-Judgment-Daniel-Kahneman/dp/0316451401/ref=pd_vtp_2?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0316451401&psc=1","","Noise: A Flaw in Human Judgment","null","null","https://images-na.ssl-images-amazon.com/images/I/41lfiSJTFjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0316451401","Little, Brown Spark"
"1621318583-562","https://www.amazon.com/Intelligent-Investor-Definitive-Investing-Essentials/dp/0060555661/ref=pd_vtp_17?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0060555661&psc=1","One Up On Wall Street: How To Use What You Already Know To Make Money In The Market","The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)","23,818 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fESaIGgVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","February 21, 2006"
"1621318624-812","https://www.amazon.com/Power-Habit-What-Life-Business/dp/081298160X/ref=pd_vtp_9?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=081298160X&psc=1","The 80/20 Principle: The Secret to Achieving More with Less","The Power of Habit: Why We Do What We Do in Life and Business","16,221 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51UKFWWvqHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0812981605","January 7, 2014"
"1621318609-742","https://www.amazon.com/Your-Money-Life-Transforming-Relationship/dp/0143115766/ref=pd_vtp_11?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0143115766&psc=1","Financial Freedom: A Proven Path to All the Money You Will Ever Need","Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018","2,535 ratings","4.5 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fFQ9HJBjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0143115762","December 10, 2008"
"1621318636-899","https://www.amazon.com/Nudge-Improving-Decisions-Health-Happiness/dp/0300122233/ref=pd_vtp_6?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0300122233&psc=1","","Nudge: Improving Decisions About Health, Wealth, and Happiness","1,562 ratings","4.3 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41F7M+zICGL._SY344_BO1,204,203,200_.jpg","978-0300122237","April 8, 2008"
"1621318649-986","https://www.amazon.com/Misbehaving-Behavioral-Economics-Richard-Thaler/dp/039335279X/ref=pd_vtp_3?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=039335279X&psc=1","Irrational Exuberance: Revised and Expanded Third Edition","Misbehaving: The Making of Behavioral Economics","1,598 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41rywvF7HOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0393352795","June 14, 2016"
"1621318609-760","https://www.amazon.com/Your-Money-Life-Transforming-Relationship/dp/0143115766/ref=pd_vtp_11?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0143115766&psc=1","Brand New Book but the cover is Damaged Tamara","Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018","2,535 ratings","4.5 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fFQ9HJBjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0143115762","December 10, 2008"
"1621318574-521","https://www.amazon.com/Random-Walk-Down-Wall-Street/dp/0393358380/ref=pd_vtp_19?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0393358380&psc=1","","A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing","1,879 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51Hh5WUNO3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0393358380","W. W. Norton & Company"
"1621318609-749","https://www.amazon.com/Your-Money-Life-Transforming-Relationship/dp/0143115766/ref=pd_vtp_11?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0143115766&psc=1","","Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018","2,535 ratings","4.5 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fFQ9HJBjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0143115762","December 10, 2008"
"1621318604-710","https://www.amazon.com/Flow-Psychology-Experience-Perennial-Classics/dp/0061339202/ref=pd_vtp_12?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0061339202&psc=1","Finding Flow: The Psychology of Engagement with Everyday Life…","Flow: The Psychology of Optimal Experience (Harper Perennial Modern Classics)","2,752 ratings","4.5 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/4187W86yEUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","July 1, 2008"
"1621318588-589","https://www.amazon.com/Simple-Path-Wealth-financial-independence/dp/1533667926/ref=pd_vtp_16?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=1533667926&psc=1","","The Simple Path to Wealth: Your road map to financial independence and a rich, free life","5,018 ratings","4.8 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41oX+Lk2-ML._SY344_BO1,204,203,200_.jpg","null","5.5 x 0.72 x 8.5 inches"
"1621318564-461","https://www.amazon.com/Little-Book-Common-Sense-Investing/dp/1119404509/ref=pd_vtp_21?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=1119404509&psc=1","","The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns (Little Books, Big Profits)","4,339 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51cCQzs8EBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-1119404507","October 16, 2017"
"1621318656-987","https://www.amazon.com/Noise-Human-Judgment-Daniel-Kahneman/dp/0316451401/ref=pd_vtp_2?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0316451401&psc=1","","Noise: A Flaw in Human Judgment","null","null","https://images-na.ssl-images-amazon.com/images/I/41lfiSJTFjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0316451401","Little, Brown Spark"
"1621318574-510","https://www.amazon.com/Random-Walk-Down-Wall-Street/dp/0393358380/ref=pd_vtp_19?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0393358380&psc=1","One Up On Wall Street: How To Use What You Already Know To Make Money In The Market","A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing","1,879 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51Hh5WUNO3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0393358380","W. W. Norton & Company"
"1621318564-444","https://www.amazon.com/Little-Book-Common-Sense-Investing/dp/1119404509/ref=pd_vtp_21?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=1119404509&psc=1","I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works","The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns (Little Books, Big Profits)","4,339 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51cCQzs8EBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-1119404507","October 16, 2017"
"1621318578-541","https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273/ref=pd_vtp_18?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0807014273&psc=1","","Man's Search for Meaning","32,188 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41nLuZrSbNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","9780807014271","Beacon Press"
"1621318645-956","https://www.amazon.com/Predictably-Irrational-Revised-Expanded-Decisions/dp/0061353248/ref=pd_vtp_4?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0061353248&psc=1","The Honest Truth About Dishonesty: How We Lie to Everyone--Especially Ourselves","Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions","3,996 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/516XdxUXpNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","5.31 x 0.86 x 8 inches"
"1621318613-767","https://www.amazon.com/Influence-Psychology-Persuasion-Robert-Cialdini/dp/006124189X/ref=pd_vtp_10?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=006124189X&psc=1","","Influence: The Psychology of Persuasion, Revised Edition","8,005 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51gysFA30GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","December 26, 2006"
"1621318656-1012","https://www.amazon.com/Noise-Human-Judgment-Daniel-Kahneman/dp/0316451401/ref=pd_vtp_2?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0316451401&psc=1","Noise: A Flaw in Human Judgment Merchant Video","Noise: A Flaw in Human Judgment","null","null","https://images-na.ssl-images-amazon.com/images/I/41lfiSJTFjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","0316451401","Little, Brown Spark"
"1621318624-800","https://www.amazon.com/Power-Habit-What-Life-Business/dp/081298160X/ref=pd_vtp_9?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=081298160X&psc=1","Outliers: The Story of Success","The Power of Habit: Why We Do What We Do in Life and Business","16,221 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51UKFWWvqHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0812981605","January 7, 2014"
"1621318609-745","https://www.amazon.com/Your-Money-Life-Transforming-Relationship/dp/0143115766/ref=pd_vtp_11?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0143115766&psc=1","","Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018","2,535 ratings","4.5 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fFQ9HJBjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0143115762","December 10, 2008"
"1621318583-553","https://www.amazon.com/Intelligent-Investor-Definitive-Investing-Essentials/dp/0060555661/ref=pd_vtp_17?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0060555661&psc=1","","The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)","23,818 ratings","4.7 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51fESaIGgVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","null","February 21, 2006"
"1621318640-907","https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299/ref=pd_vtp_5?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=0735211299&psc=1","","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","41,335 ratings","4.8 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/51PujYOdzLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-0735211292","October 16, 2018"
"1621318629-839","https://www.amazon.com/Think-Again-Power-Knowing-What/dp/1984878107/ref=pd_vtp_8?pd_rd_w=o0pRj&pf_rd_p=96226b5f-2d9a-439b-be45-97603787c682&pf_rd_r=ZHD8CMSFGMZPB0EFCVQV&pd_rd_r=fc757468-3dd3-410c-a943-c5aae6aedcf6&pd_rd_wg=IXIS7&pd_rd_i=1984878107&psc=1","","Think Again: The Power of Knowing What You Don't Know","3,700 ratings","4.6 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/41Ojcfxmn1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","978-1984878106","February 2, 2021"
